,Sentence
525,perfect for a quick meal.
526,Has the warmth of a family local yet it is a great place to watch sporting events.
527,"The service was great, and they have a whole great deal for birthdays."
528,The staff is 100% Italian and the food is as authentic as it gets.
529,My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.
530,Good for a quick sushi lunch.
531,Have a mojito and sit in the back patio.
532,The service was dreadfully slow (the place was only half full) and a smile would have been nice...
533,I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.
534,The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!
535,"So we sat at the bar, the bartender didn't seem like he wanted to be there."
536,"I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice."
537,You will not be dissapointed by any of the choices in the menu.
538,The french fries -- with the kalmata dip were terrific!
539,"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?"
540,The boutique selection of wines covers a wide variety without being imposeing.
541,"If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out."
542,They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.
543,"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious."
544,"Disappointingly, their wonderful Saketini has been taken off the bar menu."
545,In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.
546,I would definitely go back -- if only for some of those exotic martinis on the blackboard.
547,They are located off the beaten path but are certainly worth the trip.
548,then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.
549,"The happy hour is so cheap, but that does not reflect the service or the atmosphere."
550,"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order."
551,With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.
552,"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices."
553,"Give it a try, menu is typical French but varied."
554,It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.
555,"but for the value, it was a great affordable spot to enjoy a fun night out with small group."
556,the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.
557,We ordered a glass of wine and were finished eating and paying before the wine came.
558,"It was good, but none of the flavors WOW."
559,"Overall, this is a nice place to take a few friends to hang out at and the service is excellent."
560,Food is excellent quality for a good restaurant price.
561,"Actually, everyone who worked there seemed to be annoyed."
562,"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert."
563,The space is traditional in feel.
564,"the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?"
565,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.
566,"Good service, great food, good value, and never have to wait in line!"
567,Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
568,"I have been going to this restaurant for years, in the past the service was average and the food inconsistant."
569,"The music was fascinating, but left room for conversation, and the bartender made superb drinks."
570,rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!
571,Cuisine is billed as asian fusion - doesn't meet the bill.
572,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.
573,"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs."
574,"The cold sesame noodles, which are a freebie when you order $10+, are delectable."
575,"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating."
576,The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.
577,"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing."
578,"Best Chinese on the Upper East, prompt delivery, good value."
579,Most of the sandwiches are made with soy mayonaise which is actually pretty good.
580,i went in one day asking for a table for a group and was greeted by a very rude hostess.
581,It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.
582,"Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine."
583,"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele."
584,"The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs."
585,"And the food, well the food will keep you coming back."
586,Waiting three hours before getting our entrees was a treat as well.
587,It's the conversations that make this a fun place to be.
588,"My gf's duck confitte was very solid as well, although i have little base of reference."
589,"The wine list was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation."
590,You can eat gourmet food at a fast food price.
591,"I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable."
592,"Not because I was pregnant, but the food here is always delicious."
593,Had a great meal there this weekend before heading to the movies!
594,We had a birthday party here recently and the food and service was amazing.
595,"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives."
596,This place has the strangest menu and the restaurants tries too hard to make fancy food.
597,"The appetizers are ok, but the service is slow."
598,the food - not worth the price.
599,"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way)."
600,The prices are not terrible.
601,15% gratuity automatically added to the bill.
602,"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal."
603,Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.
604,Both a number of the appetizer and pasta specials were amazing.
605,"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available."
606,"Although somewhat loud, the noise was minimally intrusive."
607,"It's a basic pizza joint, not much to look at, but the pizza is what I go for."
608,"Tables are close, so you better be comfortable bumping elbows with other patrons."
609,Was her Monday for lunch - was working on a film in the area - and found this rare jewel.
610,"Not too much so, but enough that there's a great scene."
611,You feel like you made it to New York when you eat here.
612,We'd walked by it dozens of times and finally settled on a Monday night.
613,"SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it."
614,"We went there, no one greeted us."
615,Dug the blue bar area too.
616,We spent so much time getting elbowed around while we waited we left.
617,"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area."
618,"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices."
619,"At peak times, the restaurant is overcrowded and tables are uncomfortably close."
620,The service was on point - what else you would expect from a Ritz?
621,"Menus feature seasonal picks, like sweet corn-foie gras brulee."
622,"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce."
623,"And these are not small, wimpy fast food type burgers - these are real, full sized patties."
624,"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast."
625,Chinatown definitely has better quality with cheaper prices.
626,I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.
627,I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .
628,"Go with the specials, and stay away from the salmon. "
629,The pastas were pretty good.
630,Atmosphere is a bore.
631,The decor is what initially got me in the door.
632,The wait staff was very attentive and polite.
633,"Great restaurant, and even greater food!"
634,The dishes are remarkably tasty and such a cozy and intimate place!
635,Save room for the desserts! ;-)
636,"I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable."
637,Service was good and so was the atmosphere.
638,MY date and I both ordered the Branzini and both felt the fish was very average.
639,We were there March 7 and found Maison very nice.
640,"The food was good, the service prompt, and the price very reasonable. "
641,"Wonderful menu, warm inviting ambiance, great service the FOOD keeps me coming back!"
642,"Great food, good wine and an excellent host."
643,went there last night with my coworker.
644,Pizzas were excellent in addition to appetizers and main courses.
645,"Definitely try the calamari, any pasta, or even the Sliced steak entree."
646,The caeser salad was great.
647,The fried calamari was even better!
648,The atmosphere was nice but it was a little too dark.
649,The food was good overall. 
650,The food was outstanding and the service was tops.
651,The portions are very large and the service is fantastic!!
652,I recomend the chicken milanese.
653,"excellent tapas at great prices, romantic, small but not overly crowed, excellent"
654,"The service is a quite slow, but friendly."
655,"The chocolate raspberry cake is heavenly- not too sweet, but full of flavor."
656,"Our waiter was helpful and charming, the food was perfect, and the wine was good, too."
657,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.
658,I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
659,Best hot dogs in the tri-state area.
660,This is a typical example of an establishment in which its owners do not know anything about the restaurant business!
661,"I would not recommend MEET at all, it is a rip off all the way from the time to step in!"
662,Went there for a special celebration.
663,The restaurant was quiet and intimate.
664,The service was very attentive and very generous.
665,"We had tons of great food, wine, and desserts."
666,Really Lovely dining experience in the midst of buzzing midtown area.
667,"OK, I've been to Dumont a few times now."
668,The food really isn't very good and the service is terrible.
669,"Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont."
670,"Not only do they have the best escargot in town,they always try to accomodate our toddler."
671,"I've been to Sotto Voce several time, and I have to say this one place that hits the nail right on the head ever time!"
672,"Between my guest and I, we sampled at least 80% of the menu, and they were all hits."
673,The Deco and ambiance was really romantic.
674,This is the best unknown restaurant in and around New York.
675,Just go in and sample the greatest french food west of Daniel.
676,"For someone who used to hate Indian food, Baluchi's has changed my mid."
677,"Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later."
678,"All are GREAT - poori, naan, paratha all FRESH."
679,Try the homemade breads.
680,"This place has beautiful sushi, and it's delicious CHEAP. "
681,It also has lots of other Korean dishes that are affordable and just as yummy.
682,I went for restaurant week and ordered off the prix fixe menu
683,"Not only was the waiter efficient and courteous, but also extremely helpful. "
684,It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!
685,"This place is classy, chic, the service is warm and hospitable, and the food is outstanding."
686,I read about this place in Time Out magazine.
687,It's a great find in Astoria.
688,"Great burgers, grilled cheeses and french fries."
689,The Yellowfin Tuna and Calf's liver are my favorites!
690,Sushi so fresh that it crunches in your mouth.
691,But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
692,Despite the 5th ave address there are no frills whick I also love.
693,They bring a sauce cart up to your table and offer you up to 7 or 8 choices of sauces for your steak (I tried them ALL).
694,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!"
695,good variety but nothing surprising.
696,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie."
697,Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.
698,It's always quiet because it's awful.
699,"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion."
700,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix."
701,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty."
702,I always find myself asking the waiter to make something bland and different than what is on the menu.
703,"Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees."
704,"The closest that I got was the Cherry Marscapone, but they were out of it that day."
705,"The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the mango chicken offers a surprisingly sophisticated, fresh take on sweet-and-sour."
706,"It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere."
707,I have to say the place was awesome.
708,The ground chickpea soup we sampled as a starter tasted somewhat thin.
709,"We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes."
710,"The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game."
711,"If you're in the neighborhood, definitely stop by for a great meal."
712,"Unfortunately, with our show tickets, we didn't have time to sample any desserts."
713,"The restaurant could use a little paint, but all in all a great sushi place!"
714,Make more tables- perhaps a rooftop bar?
715,"The decoration was feeling like we was on the Cairo, actually the street is part of that adventure."
716,"Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service."
717,I didn't go there for food so I can't comment.
718,"My friends and I go once a week (minimum, we live in the area) and everytime can't resist walking out ready to burst."
719,"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great."
720,"Hip boutiques and bars on Ludlow add to the artsy, laid-back atmosphere at this Israeli-style takeout and eat-in burger joint."
721,"Young neighborhood trendies graze at the counter during the day, while chic, art-house drinkers with heavy doses of the munchies pile in late at night."
722,Bring your date and a bottle of wine!
723,"Not only is this the best Thai restaurant I have been to, but it also ranks as one of my favorite places to dine."
724,Don't be put off by another reviewers extremely negative review.
725,"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few."
726,"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14)."
727,The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.
728,"The pasta primavera was outstanding as well, lots of fresh veggies."
729,"don't get me wrong - sushi was good, just not fantastic."
730,Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).
731,"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx"
732,Had dinner here on a Friday and the food was great.
733,"We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the dessert menu."
734,"Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice."
735,"The ambiance was fine, a little loud but still nice and romantic."
736,"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection)."
737,It took about 2 1/2 hours to be served our 2 courses.
738,Who said go when the place is quiet during the day?
739,Can be a bit busy around peak times because of the size.
740,"I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome chicken tacos and Hibiscus lemonade."
741,good place to hang out during the day after shopping or to grab a simple soup or classic french dish over a glass of wine.
742,Very nice touch that very much fits the place.
743,"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile."
744,We were seated promptly in close proximity to the dance floor.
745,"If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location."
746,A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
747,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good."
748,It's best to go on a cold night with a close friend or a good book.
749,"Slow service, but when you're hanging around with groups of 10 or 20, who really notices?"
750,The sauce is excellent (very fresh) with dabs of real mozzarella.
751,"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining."
752,"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go."
753,Prices even outside of restaurant week were great.
754,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends."
755,Before the place didn't call my attention.
756,"And all the [female] servers are cute too, which is always nice."
757,"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets."
758,"for an appetizer, their calamari is a winner."
759,Satay is one of those favorite haunts on Washington where the service and food is always on the money.
760,After dinner I heard music playing and discovered that there is a lounge downstairs.
761,"But now that it's under new ownership and has been renovated, it looks great."
762,"The room is a gorgeous, bi-level space and the long bar perfect for a drink."
763,Now we moved out of the state and every visit to NYC includes a stop here.
764,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu."
765,I don't remember what we had; nothing was memorable.
766,It is bland and nothing extrodinary.
767,I was especially impressed during the bday party when the waitstaff went above and beyond in helping me decorate and bring out a bday cake as well as offering prompt and friendly service to a 15 person party.
768,The chicken and falafel platters were nondescript combinations with fresh leaf salad.
769,"Every time I visit NYC, I come here."
770,"I've been coming here regularly since it opened, about 2 years ago."
771,"The atmosphere takes you to that place, the place many dream of."
772,"several times and put up with the waiters' bad manners, knowing that their job isn't easy."
773,"The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good..."
774,We were seated next to a couple whose kitchen was being renovated and we agreed since we're all foodies who eat out a lot - that this wasn't a place we'd return to.
775,They are served on Focacchia bread and are to die for.
776,"While the smoothies are a little big for me, the fresh juices are the best I have ever had!"
777,"The food is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good."
778,"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it."
779,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone."
780,It' only open for lunch but the food is so good!
781,If you like seafood and/or Greek food you will love this place though it is not limited to just these things.
782,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians."
783,How can they survive serving mediocre food at exorbitant prices?!
784,The food was mediocre and the service was severely slow.
785,i have eaten here on a different occasion - the food is mediocre for the prices.
786,I'm looking forward to going back soon and eventually trying most everything on the menu!
787,I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.
788,I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.
789,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.
790,"Weekends can get crowded, but still highly recommended."
791,It gets very crowded so I would suggest that you get their early.
792,Sweet Irish bartender is always happy and able to bring a smile to my friends a my face.
793,I always find myself sitting next to someone in the theatre industry- interesting to hear ideas hashed out while having a quick bite to eat.
794,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.
795,"Anyway, the owner was fake."
796,Owner is pleasant and entertaining.
797,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this."
798,"Although the restaurant itself is nice, I prefer not to go for the food."
799,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas."
0,The bread is top notch as well.
1,I have to say they have one of the fastest delivery times in the city.
2,Food is always fresh and hot- ready to eat!
3,Did I mention that the coffee is OUTSTANDING?
4,"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
5,"I trust the people at Go Sushi, it never disappoints."
6,"Straight-forward, no surprises, very decent Japanese food."
7,"BEST spicy tuna roll, great asian salad."
8,Try the rose roll (not on menu).
9,"I love the drinks, esp lychee martini, and the food is also VERY good."
10,"In fact, this was not a Nicoise salad and was barely eatable."
11,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
12,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening."
13,Our waiter was horrible; so rude and disinterested.
14,The sangria's - watered down.
15,"menu - uneventful, small."
16,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
17,Great food but the service was dreadful!
18,The portions of the food that came out were mediocre.
19,the two waitress's looked like they had been sucking on lemons.
20,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
21,We enjoyed ourselves thoroughly and will be going back for the desserts ....
22,Desserts are almost incredible: my personal favorite is their Tart of the Day.
23,I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
24,Maybe the secret was that we went on a Sunday night and everything was great.
25,"The food was extremely tasty, creatively presented and the wine excellent."
26,WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
27,WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
28,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
29,Harumi Sushi has the freshest and most delicious array of sushi in NYC.
30,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
31,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice."
32,I definitely enjoyed the food as well.
33,have always had a great time here.
34,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable."
35,You will be very happy with the experience.
36,"The food is surprisingly good, and the decor is nice."
37,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
38,Two wasted steaks -- what a crime!
39,The staff should be a bit more friendly.
40,I absolutely suggest this place.
41,I think the meatball parm is good.
42,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong."
43,Definitely try the taglierini with truffles - it was incredible.
44,"Also, the staff is very attentive and really personable."
45,"Overall, this is a great new restaurant that has been consistently good every time I have been."
46,The gnocchi literally melts in your mouth!
47,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
48,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana."
49,"The food is good, the teriyaki I recommend."
50,Meal was very expensive for what you get.
51,Try the Peanut Butter Sorbet and the pizza with soy cheese!
52,"Good food at the right price, what more can you ask for."
53,"We love it, and took buses and cabs to get there."
54,"If you' re in New York, you do not want to miss this place."
55,"The food is top notch, the service is attentive, and the atmosphere is great."
56,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me."
57,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!"
58,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.
59,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!"
60,The whole experience was satisfying.
61,"However, it was worth the visit."
62,The menu is interesting and quite reasonably priced.
63,The food was delicious and clearly fresh ingredients were used.
64,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
65,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.
66,The spicy mussels are a highlight.
67,Also get the Onion Rings -- best we've ever had.
68,Would not return for the amount we paid.
69,"However, being foodies, we were utterly disappointed with the food."
70,"Huge portions, great and attentive service, and pretty good prices."
71,I was highly disappointed by their service and food.
72,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up."
73,The food is great and the milkshakes are even better!
74,Stay away if you're claustrophobic
75,"If you're in the 'hood, definitely stop in."
76,the mushroom barley soup is amazing.
77,"On the recommendation of a friend, I checked out Arezzo with my wife."
78,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient."
79,Their duck here is also absolutely delicious.
80,This is definitely one of the places that I have continued to come back to over the years.
81,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
82,One caveat: Some of the curried casseroles can be a trifle harsh.
83,I wasn't impressed and it wasn't SPICEY????
84,The food was almost always EXCELLENT.
85,I was pleasently surprised at the taste.
86,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers."
87,I never had an orange donut before so I gave it a shot.
88,"they really provide a relaxing, laid-back atmosphere."
89,This particular location certainly uses substandard meats.
90,I stumbled upon this resteraunt on my way home from the subway.
91,The Management was less than accomodating.
92,The ambience is also more laid-back and relaxed.
93,the teas are great and all the sweets are homemade.
94,mojitos and the service are the best part in there
95,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes."
96,this restaurant is absolutely beautiful.
97,The design is very intimate and romantic.
98,The food was wonderful and imaginative.
99,The staff is very sharp and they look good too.
100,The worst though was the taste.
101,"They were dry, stale and pretty flavorless."
102,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.
103,Stay with the roasted chickens and you'll be fine.
104,"The atmosphere is warm, comfortable, artsy and sexy."
105,"The food is great (big selection, reasonable prices) and the drinks are really good."
106,The steak melted in my mouth.
107,"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it."
108,"Most importantly, it is reasonably priced."
109,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great."
110,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste."
111,"Food was decent, but not great."
112,I have no idea why this restaurant is so often overlooked.
113,"From the moment you walk in, you feel like you're in the perfect place."
114,i dont know what some people who rave about this hot dog are talking about.
115,it is a hidden delight complete with a quaint bar and good food.
116,"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far."
117,The waiters ALWAYS look angry and even ignore their high-tipping regulars.
118,"the atmosphere is very nice, and a welcome escape from the rest of the SI mall."
119,"Yes, they're a bit more expensive then typical, but then again, so is their food."
120,"Not terrible, but not the restaurant in the reviews of 2002."
121,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money."
122,It was delicious and large!
123,"Anywhere else, the prices would be 3x as high!"
124,The service we experienced was friendly and good.
125,Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.
126,The folding chair I was seated at was uncomfortable.
127,As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.
128,An excellent choice in midtown.
129,Service was among the best I have ever had in NYC.
130,The fettucino alfredo was amazing.
131,The food was very good and I was pleasantly surprised to see so many vegan options.
132,I know real Indian food and this wasn't it.
133,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on..."
134,"Even when the chef is not in the house, the food and service are right on target."
135,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.
136,"The waiters were very professional, courteous and attentive."
137,My boyfriend and I went here last night and LOVED it!
138,The falafal was rather over cooked and dried but the chicken was fine.
139,"I highly reccomend the grand marnier shrimp, it's insanely good."
140,"We been there and we really enjoy the food, was areally great food, and the service was really good."
141,Desserts include flan and sopaipillas.
142,I was starving and the small portions were driving me crazy!
143,The wait staff was loud and inconsiderate.
144,"However, the food and service and dramatically lacking."
145,The sushi is cut in blocks bigger than my cell phone.
146,"The service is great, my soup always arrives nice and hot."
147,It had been awhile and I forgot just how delicious crepes can be.
148,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.
149,My friend told me about this restaurant for a year before he finally took me this weekend.
150,i had a delicious shrimp creole.
151,The chicken dinner was real good.
152,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.
153,The decor is designed in a contemporary Japanese style restaurant.
154,but the food was delicious.
155,"Try the ribs, sizzling beef and couple it with coconut rice."
156,The only drawback is that it's a little pricey.
157,Everything about this place was wonderful.
158,The avocado salad is a personal fave.
159,"And, the honey BBQ rib tips are yummy!"
160,The BEST Chinese food Uptown!
161,Service is known for bending over backwards to make everyone happy.
162,"The atmosphere is attractive, but a little uncomfortable."
163,The staff is very friendly.
164,Waiters are very friendly and the pasta is out of this world.
165,Great wine list and great cocktail menu.
166,The crab cakes are delicious and the BBQ rib was perfect.
167,"The food is wonderful, artfully done and simply delicious."
168,Tiny restaurant with very fast service.
169,"The sauce may not be for everyone, since it is distintive."
170,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.
171,"A beautiful atmosphere, perfect for drinks and/or appetizers."
172,Curioni's Pizza has been around since the 1920's.
173,They make the best pizza in New Jersey.
174,I recently visited over this past summer after being away for a year.
175,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list."
176,"Frankly, the chinese food here is something I can make better at home."
177,There was only one waiter for the whole restaurant upstairs.
178,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.
179,"Not to be overlooked, the service is excellent."
180,this without question is one of the worst hotdogs i have ever had.
181,"The staff is unbelievably friendly, and I dream about their Saag gosht...so good."
182,I also recommend the garlic knots.
183,Best Indian food I have ever eaten.
184,You won't be dissapointed.
185,This place has the best pizza.
186,Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.
187,The music which is sometimes a little too heavy for my taste.
188,The service is excellent and always informative without an air.
189,The owner and staff go to great lengths to make you feel comfortable.
190,I can't stand this dungeon.
191,The sushi is always fresh and yummy and the menu is pretty varied.
192,"The food was great - sushi was good, but the cooked food amazed us."
193,their dinner specials are fantastic.
194,Delish and made to your liking!
195,"Great food, great drinks, nice dining atmosphere."
196,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants."
197,Food portion was SMALL and below average.
