,Sentence
559,I was given a demonstration of Windows 8.
560,The Macbook Pro is the premier choice for college students.
561,"Their products, including the MBP, are beautiful, sleek and clever."
562,The MBP is beautiful has many wonderful capabilities.
563,"I thought that it will be fine, if i do some settings."
564,Runs very smoothly.
565,Perfect--thanks so.
566,"Also, it hardly ever crashes."
567,I was so excited to get this in the mail i nearly gave myself a heart attack.
568,Boot-up slowed significantly after all Windows updates were installed.
569,More likely it will require replacing the logic board once they admit they have a problem and come up with a solution.
570,"When i finally held it in my hands i kissed it, yes i did."
571,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming."
572,This computer is not cheap and represent an achievement for me.
573,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu."
574,GET THIS MACHINE
575,It's shiny and it's pretty.
576,Runs real quick.
577,All the above aside this machine ROCKS!
578,Buy the separate RAM memory and you will have a rocket!
579,"Since the machine's slim profile is critical to me, that was a problem."
580,"Bottom line, if you can afford it, get a Mac!"
581,I finally made the leap after my Gateway crapped out on me.
582,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required."
583,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not."
584,"Soft touch, anodized aluminum with laser cut precision and no flaws."
585,"Simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops."
586,First of all yes this is a mac and it has that nice brushed aluminum .
587,Who makes a laptop that can't rest on your lap?
588,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive."
589,"The Dell Inspiron is fast and has a number pad on the keyboard, which I miss on my Apple laptops."
590,wow the new macbook pro hanged as i tried to type this review.
591,The MacBook Pro is a great product which can meet the needs of the average consumer.
592,I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...
593,This one still has the CD slot.
594,No HDMI port.
595,I had to install Mountain Lion and it took a good two hours.
596,Customization on mac is impossible.
597,I hope this review helps.
598,"However, you have to adjust yourself to what it will do, not what you want it to do."
599,I am replacing the HD with a Micron SSD soon.
600,Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.
601,Far superior to my MacBook.
602,The SuperDrive is quiet.
603,It was quite easy.
604,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.
605,I decided to buy a few notebooks for my nephews for Xmas.
606,"The battery was completely dead, in fact it had grown about a quarter inch thick lump on the underside."
607,This is no exception.
608,if yo like practicality this is the laptop for you.
609,The OS is great.
610,I have had a black macbook since 2007.
611,I tried several monitors and several HDMI cables and this was the case each time.
612,"CONS: Price is a bit ridiculous, kinda heavy."
613,"If that is the case, then I am completely happy"
614,10/10 five stars would recommend.
615,The troubleshooting said it was the AC adaptor so we ordered a new one.
616,"I fell in love with my machine, and it was pampered."
617,Fan only comes on when you are playing a game.
618,"Which it did not have, only 3 USB 2 ports."
619,No startup disk was not included but that may be my fault.
620,"There is no ""tools"" menu."
621,It is very fast and has everything that I need except for a word program.
622,Needs a CD/DVD drive and a bigger power switch.
623,It is the best laptop ever!!!
624,My laptop with Windows 7 crashed and I did not want Windows 8.
625,Was skeptical about buying an electronic item online but it turned out to be a positive experience.
626,Not a scratch or mark on it.
627,Easy to install also small to leave anywhere at your bedroom also very easy to configure for ADSl cable or wifi.
628,Words cannot express how much I love my new Mac.
629,The speakers could have been better but it wasn't a deal breaker... this is a great little laptop... love it!
630,The item received was exactly as identified.
631,Its everything mac offers.
632,Nice packing.
633,"Besides being elegant, the MacBooks are durable."
634,"I switched to this because I wanted something different, even though I miss windows."
635,"Yes, the MBP is more expensive than competing PC laptops."
636,"Apple no longer includes iDVD with the computer and furthermore, Apple doesn't even offer it anymore!"
637,"I also wanted Windows 7, which this one has."
638,"At first, I feel a little bit uncomfortable in using the Mac system."
639,I am used to computers with windows so I am having a little difficulty finding my way around.
640,They replaced it and so far so good.
641,It just works out of the box and you have a lot of cool software included with the OS.
642,Good in every aspect.
643,its as advertised on here..... it works great and is not a waste of money!
644,"Replaced this one with my mac that was stolen, its a great computer."
645,Just be careful; you always have to give up some good stuff for others.
646,Runs like a champ.....
647,Really great...Well let me start at the beginning.
648,Premium price for the OS more than anything else.
649,This was a gift for my grand son.
650,"I was a little concerned about the touch pad based on reviews, but I've found it fine to work with."
651,"I bought this Mac book pro along with a new 27"" iMac and while they are still light years more reliable than a PC I have noticed a decline in the reliability of my Mac computers."
652,"The sound as mentioned earlier isn't the best, but it can be solved with headphones."
653,"The track pad is a bit squirrely at times- sometimes too sensitive, and sometimes a bit unresponsive, but it's usable."
654,"However, the experience was great since the OS does not become unstable and the application will simply shutdown and reopen."
655,"Then only FOUR months later, my great MacBook pro FAILED."
656,"If you ask me, for this price it should be included."
657,The battery is not as shown in the product photos.
658,Even though I could have gotten a pc twice the speed for the same price I still think there's nothing like a Mac.
659,Seems a much more economical way to get into Apple than their other computers.
660,Shipping was quick and product described was the product sent and so much more...
661,I'm so disgusted that I wasted my money on this product.
662,All you get is a box and a computer.
663,the retina display display make pictures i took years ago jaw dropping.
664,Its only crashed on me one time in the 3 months i've had it.
665,The Mac Mini is probably the simplest example of compact computing out there.
666,"Instead, I'll focus more on the actual performance and feature set of the hardware itself so you can make an educated decision on which Mac to buy."
667,My bag just got a little lighter.
668,I'm Not exagerating when I say this computer is perfect..i It is!!
669,"This machine is flawless, fast, and classy."
670,"Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack."
671,I stayed up half the night enjoying my new MacBook Pro.
672,This laptop is a 100 times better than a Chromebook!
673,"Additionally, there is barely a ventilation system in the computer, and even the simple activity of watching videos let alone playing steam games causes the laptop to get very very hot, and in fact impossible to keep on lap."
674,"At $1899 to start, this is no cheap machine."
675,"Chatting with Acer support, I was advised the problem was corrupted operating system files."
676,It's been a couple weeks since the purchase and I'm struggle with finding the correct keys (but that was expected).
677,"Many people complain about the new OS, and it's urgent for Apple to fix it asap!"
678,Now that I have upgraded to Lion I am much happier about MAC OS and have just bought an iMac for office.
679,User upgradeable RAM and HDD.
680,But I wanted the Pro for the CD/DVD player.
681,"I might have read it incorrectly, but better safe than sorry right?"
682,The ultimate graduation gift.
683,The RAM memory is good but should have splurged for 8Mb instead of 4Mb.
684,"was debating to buy one for months, checked out different stuff on youtube, and read different articles and debates,I just didnt really wanna spend the money but Im glad that I did."
685,I love it and would recommend it to everyone who is tired of the constant attention PC's require.
686,I was a little worry at first because I don't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows.
687,"I am an Info Sys major in college, so I started researching this issue on my own."
688,Solution: it turned out to be pretty simple.
689,With the softwares supporting the use of other OS makes it much better.
690,Still haven't solved this.
691,"I then upgraded to Mac OS X 10.8 ""Mountain Lion""."
692,It is EXTREMELY fast and never lags.
693,I told them that I just received my brand new MacBook but I was having issues.
694,"I was considering buying the Air, but in reality, this one has a more powerful performance and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier."
695,"At home and the office it gets plugged into an external 24"" LCD screen, so built in screen size is not terribly important."
696,Hopefully my replacement is brand new.
697,Just beware no DVD slot so when I went to install software I had on CD I couldn't.
698,"I bought it to be able to dedicate a small, portable laptop to my writing and was surprised to learn that I needed to buy a word processing program to do so."
699,"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has."
700,"Actually, I think I was intimidated by the change from a PC."
701,No Cd Rom in the new version there's no way I'm spending that kind of money on something has less features than the older version.
702,Definitely worth spending the money on it.
703,I have three words: Piece of Junk!
704,the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer
705,Fits all my personal needs.
706,I'm the pro-active type so I went off and did some preventative fixes.
707,and its not hard to accidentally bang it against something so i recommend getting a case to protect it.
708,I wanted to explore what the Mac was all about.
709,I got this at an amazing price from Amazon and it arrived just in time.
710,"Every time I log into the system after a few hours, there is this endlessly frustrating process that I have to go through."
711,The majority of the reviews seem to be for the 13.3 MacBook Pro  Model # MD101LL/A.
712,"Put a SSD and use a 21"" LED screen, this set up is silky smooth!"
713,I saw the bad reviews from people saying to buy directly from Apple and I was concerned but I took my chances and am overly impressed.
714,"The case is now slightly larger than the previous generation, but the lack of an external power supply justifies the small increase in size."
715,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding."
716,"When considering a Mac, look at the total cost of ownership and not just the initial price tag."
717,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports."
718,A great college tool!
719,The only thing I dislike about this laptop are the rubber pads found on the bottom of the computer for grip.
720,I called apple and no solution.
721,It's a decent computer for the price and hopefully it will last a long time.
722,I was really happy because it is a much better price on amazon.com than it was in the Mac store.
723,The worst a Mac ever did to me was freeze up.
724,The nicest  part is the low heat output and ultra quiet operation.
725,I am paying apple to kill my self and my wallet.
726,NO STAR FOR THIS TRASH.[...
727,I will upgrade the ram myself (because with this model you can you can do it) later on.
728,The price is 200 dollars down.
729,"this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly."
730,A lot of features and shortcuts on the MBP that I was never exposed to on a normal PC.
731,Wasn't sure if I was going to like it much less love it so I went to a local best buy and played around with the IOS system on a Mac Pro and it was totally unique and different.
732,Quietest laptop I have ever owned.
733,air has higher resolution but the fonts are small.
734,again this is just my personal honest opinion.
735,If you have much higher expectations than that... I would look elsewhere.
736,"working with Mac is so much easier, so many cool features."
737,I'm going to buy a logitevh c270.
738,Very happy with my purchase.
739,I like the brightness and adjustments.
740,I'M SO HAPPY WITH MY macbook pro!
741,I only wish this mac had a CD/DVD player built in.
742,The only thing I miss is that my old Alienware laptop had backlit keys.
743,"The only thing I miss are the ""Home/End"" type keys and other things that I grew accustomed to after so long."
744,"So happy with this purchase, I just wish it came with Microsoft Word."
745,It is more than enough computer to keep up with the needs of a high school student.
746,It has enough memory and speed to run my business with all the flexibility that comes with a laptop.
747,"The speed, the simplicity, the design.. it is lightyears ahead of any PC I have ever owned."
748,I love everything about this computer.
749,I found it toughest to decide between Dell ultra books and Apple.
750,"The battery life is excellent, the display is excellent, and downloading apps is a  breeze."
751,"The screen, the software and the smoothness of the operating system."
752,"While we struggle with all the crashes and viruses, the kids computers stay consistent and so we caved in and bought one for buisness!"
753,I don't want to RUN a computer; I want to USE a computer.
754,i have dropped mine a couple times with only a slim plastic case covering it.
755,I also made a recovery USB stick.
756,Being a PC user for many years to switch to a Mac I will not go back.
757,"But with this laptop, the bass is very weak and the sound comes out sounding tinny."
758,I do admit it is pricey but the saying is really true with this MacBook Pro Laptop ( You get what you pay for).
759,"I've almost have bought every generation of MacMinis since 2005, and this one hasn't let me down."
760,"The built quality is really good, I was so Happy and excited about this Product."
761,I am loving the fast performance also.
762,I had to return it because it wouldn't even start.
763,"Further, this Mac Mini has a sloppy Bluetooth interface (courtesy of the Mac OS) and the range is poor."
764,Great deal on an amazing lap top!
765,If you start on the far right side and scroll to your left the start menu will automatically come up.
766,Best money I ever spent.
767,My only gripe would be the need to add more RAM.
768,But I didn't want to spend another thousand on a laptop since my work already provides me with a PC.
769,Fine if you have a touch screen.
770,can never go wrong with apple products.
771,"As far as user type - I dabble in everything from games (WoW) to Photoshop, but nothing professionally."
772,"It doesnt get hot like my PC, with technology always at the tip of our fingertips anytime I forget how to do something i just google it."
773,"I re-seated the ""WLAN"" card inside and re-installed the LAN device drivers."
774,"This by far beats any computer out on the market today built well, battery life AMAZING."
775,"I haven't used it for anything high tech yet, but I love it already."
776,"The OS is easy, and offers all kinds of surprises."
777,I had to get Apple Customer Support to correct the problem.
778,Ideal for someone on the go or for a high school students.
779,A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.
780,"I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff."
781,The first time I used the card reader it took half an hour and a pair of tweezers to remove the card.
782,This flaw unfortunately detracts from everything else Apple got right with the Mini.
783,"After replacing the spinning hard disk with an ssd drive, my mac is just flying."
784,I know some people complained about HDMI issues but they released a firmware patch to address that issue.
785,With the needs of a professional photographer I generally need to keep up with the best specs.
786,Added an iMac about 2 years later.
787,packing and everything was perfect
788,I will not hesitate to recommend it to family and friends
789,I called Toshiba where I gave them the serial number and they informed me that they were having issues with the mother boards.
790,"I seem to be having repeat problems as the Mother Board in this one is diagnosed as faulty, related to the graphics card."
791,It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.
792,This computer is also awesome for my sons virtual home schooling.
793,Cost is more as compared to other brands.
794,also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-
795,This hardware seems to be better than the iMac in that it isn't $1400 and smaller.
796,I'm done with WinDoze computers.
797,I've had it for about 2 months now and found no issues with software or updates.
798,the latest version does not have a disc drive.
799,Screen - although some people might complain about low res which I think is ridiculous.
0,"Boot time is super fast, around anywhere from 35 seconds to 1 minute."
1,tech support would not fix the problem unless I bought your plan for $150 plus.
2,but in resume this computer rocks!
3,Set up was easy.
4,Did not enjoy the new Windows 8 and touchscreen functions.
5,"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now."
6,"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag."
7,excellent in every way.
8,No installation disk (DVD) is included.
9,"It's fast, light, and simple to use."
10,"Works well, and I am extremely happy to be back to an apple OS."
11,This mac has been a problem since we got it.
12,Sure it's not light and slim but the features make up for it 100%.
13,"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs)."
14,The Apple engineers have not yet discovered the delete key.
15,Made interneting (part of my business) very difficult to maintain.
16,"Luckily, for all of us contemplating the decision, the Mac Mini is priced just right."
17,Small and still VERY powerful.
18,I had gotten this model for  $1199.00 on my State's tax-free weekend and had a $100 off coupon for a MacBook at the local BestBuy!
19,"Super light, super sexy and everything just works."
20,"Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective."
21,And if you are switching from a pc I hilghy sugest this one.
22,It is super fast and has outstanding graphics.
23,But the mountain lion is just too slow.
24,Strong build though which really adds to its durability.
25,The battery life is excellent- 6-7 hours without charging.
26,I enjoy having apple products.
27,I've had my computer for 2 weeks already and it works perfectly.
28,I will never go back to a PC again!
29,And I may be the only one but I am really liking Windows 8.
30,The baterry is very longer.
31,And it's so quiet that I don't hear it at all.
32,Its size is ideal and the weight is acceptable.
33,"I know Apples are more expensive than PCs, but he thinks it is worth every penny."
34,To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...
35,I can say that I am fully satisfied with the performance that the computer has supplied.
36,"I'm pretty sure when I bought it, my bank account went 'ouch!"
37,Thank you so much for the great item.
38,"This laptop has only 2 USB ports, and they are both on the same side."
39,It's annoying very much and I won't ever buy any Acer products.
40,This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.
41,It has so much more speed and the screen is very sharp.
42,"As for the laptop, this is our 3rd Apple computer in the past 2 years."
43,Everything I wanted and everything I needed and the price was great!
44,It's not inexpensive but the Hardware performance is impressive for a computer this small.
45,It is better than my old acer laptop.
46,"This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for."
47,I would buy it again in a heartbeat!
48,Keyboard responds well to presses.
49,If someone called me an Apple Fanboy...it would make sense.
50,"Lastly, Windows 8 is annoying."
51,"A scratch on a $1,500 MacBook is unforgivable."
52,I just fell in love with this thing.
53,Everything is so easy and intuitive to setup or configure.
54,"I have no problems yet on my mac so far, and hope it stays like that."
55,This laptop is a great buy.
56,Biggest complaint is Windows 8 .
57,Only 2 usb ports...seems kind of...limited.
58,It has been to early to see if this actually fixes the problem or not though.
59,This device has met my expectations and I'm sure it will meet yours.
60,It has all the expected features and more +plus a wide screen and more than roomy keyboard.
61,"Out of all the laptops I have owned, this is by far the best!"
62,Amazing Performance for anything I throw at it.
63,"I can never go back to a PC now, this machine never freezes or has any problems."
64,Out of the box I noticed how small it was and was exactly what I was looking for.
65,The receiver was full of superlatives for the quality and performance.
66,I was extremely happy with the OS itself.
67,I was looking for something in between a regular laptop and a tablet and this is it.
68,The new MBP offers great portability and gives us confidence that we are not going to need to purchase a new laptop in 18 months.
69,Great purchase and I definitely didn't miss out on the Black Friday deals.
70,"The criticism has waned, and now I'd be the first to recommend an Air for truly portable computing."
71,I would have given it 5 starts was it not for the fact that it had Windows 8
72,"MS Office 2011 for Mac is wonderful, well worth it."
73,"After using it for over a month, an issue started to surface."
74,But the performance of Mac Mini is a huge disappointment.
75,There has been no problem with anything.
76,I believe with Apple - you get what you pay for.
77,They don't just look good; they deliver excellent performance.
78,I have had it over a year now with out a Glitch of any kind..I love the lit up keys and screen display...this thing is Fast and clear as can be.
79,The product is prefect for everyone.
80,The Mountain Lion OS is not hard to figure out if you are familiar with Microsoft Windows.
81,"However, I can refute that OSX is ""FAST""."
82,I waited to review to make sure it is what it is.
83,Enjoy using Microsoft Office!
84,I would suggest this product to anyone.
85,"With no problems,  I'm happy with this purchase because I saved money compared to buying it anywhere else."
86,Incredible graphics and brilliant colors.
87,I needed something affordable from Apple and was tired of dealing with PC laptop after PC laptop.
88,Just bit the bullet and bought the Mac hoping it will last a lot longer….
89,Built-in apps are purely amazing.
90,Cons: Screen resolution.
91,From the speed to the multi touch gestures this operating system beats Windows easily.
92,I really like the size and I'm a fan of the ACERS.
93,"This is by far thee best, most reliable computer I could find."
94,"I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare."
95,It's light and easy to transport.
96,Once you get past learning how to use the poorly designed Windows 8 Set-Up you may feel frustrated.
97,Very powerful especially for the money.
98,"When my Dell laptop gave up only after 2 1/2 years, I decided to buy MacBook Pro."
99,"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display."
100,This was a significantly more affordable than getting a new MacBook Pro from Apple.
101,I have always wanted a MacBook Pro.....always!
102,The reason why I choose apple MacBook because of their design and the aluminum casing.
103,The aluminum body sure makes it stand out.
104,"Overall it's an amazing product, 5 stars!"
105,"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly."
106,He's thrilled with his new laptop.
107,Amazing product as you would expect from Apple.
108,Nothing wrong with this computer at all!
109,"And the fact that Apple is driving the 13"" RMBP with the Intel4000 graphic chip seems underpowered (to me."
110,I have to wonder why Amazon is even selling this dinosaur.
111,Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.
112,No hassle and no complaints.
113,"LOVE IT I've always been an apple fan boy, but never had the money to buy a mac, only ipads and iphones, and this is my first mac, blew me away completely."
114,The durability of the laptop will make it worth the money.
115,Well designed and fast.
116,And now I am a proud MacBook owner also!
117,"But I was completely wrong, this computer is UNBELIEVABLE amazing and easy to use."
118,Exactly as posted plus a great value.
119,The specs are pretty good too.
120,"I am having a friend look at it , but will probably return it."
121,There were no scratches or dents or any marks at all.
122,"I've only had it one day, but I really do love it and I'm happy it was economical and I'm finally able to own a Mac!"
123,"Since I have always used Apple products, the choice of Macbook Pro was obvious."
124,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service."
125,This is my first apple laptop.
126,It makes a great gift.
127,It is a great size and amazing windows 8 included!
128,I would recommend to any one lloking for a first class computer!
129,I do not like too much Windows 8.
130,Startup times are incredibly long: over two minutes.
131,I bought this Macbook Pro from Best Buy under a year ago to replace my old Macbook Air.
132,The macbook pro is really responsive.
133,Also stunning colors and speedy
134,it is really expensive though.
135,great price free shipping what else can i ask for!!
136,This mouse is terrific.
137,I will also say it is much better than I expected!
138,This computer does everything i need it to do for school and more.
139,It is really thick around the battery.
140,And windows 7 works like a charm.
141,And I can attach my projector to it.
142,":) Great product, great price, great delivery, and great service."
143,:] It arrived so fast and customer service was great.
144,tried windows 8 and hated it !!!
145,"The price is higher than most lab top out there; however, he/she will get what they paid for, which is a great computer."
146,"So, I thought why not give Mac Book pro a try."
147,Set up was a breeze.
148,But I do NOT like Win8.
149,I have owned at least 4 to 5 laptops and computers - but this is by far the most superior machine I have ever owned.
150,I am still in the process of learning about its features.
151,"BTW, I checked online regarding the old laptop that 'died' and found that I was not alone, far from it."
152,"I had the same reasons as most PC users: the price, the overbearing restrictions of OSX and lack of support for games."
153,"I wanted it for it's mobility and man, this little bad boy is very nice."
154,Seems to me that's the best way to get Apple's attention.
155,Very nice so far.
156,You won't be disappointed.
157,"The investment of a new MacBook Pro came at a price, but totally worth it for a good piece of mind."
158,I found the mini to be:Exceptionally easy to set up
159,Having USB3 is why I bought this Mini.
160,Be sure to have good air flow where ever you put it.
161,The sound is nice and loud; I don't have any problems with hearing anything.
162,"It is very slim, the track pad is very much impressed with me."
163,This was the same problem with my MacBook (circa 2007) that I just retired.
164,"Great things come in small ""packages."
165,HUGE Apple MAC Fan!
166,"Looked at HP, ASUS, Acer, Sony and a bunch of other ones but could not find I really liked."
167,The settings are not user-friendly either.
168,"Honestly, I am surprised no one else has mentioned returning theirs."
169,"Most of them were either too big, too noisy and too slow after 2 years."
170,"The machine is used, but is like new, i'm very impress."
171,Thank goodness for OpenOffice!
172,"Awesome form factor, great battery life, wonderful UX."
173,"Needless to say, the leap from that to this has been amazing and (aside from the financial reasons) I am astounded that I hadn't made the switch sooner."
174,"Its perfect, not much heavy."
175,i love the keyboard and the screen.
176,I find it not to be very user friendly.
177,It has surpassed all expectations and fulfilled all my needs.
178,"However, there are MAJOR issues with the touchpad which render the device nearly useless."
179,What angers me more than anything else is that I spent all those years hating MACs when I could have been getting a lot more production with a whole lot less grief!
180,I've already upgraded o Mavericks and I am impressed with everything about this computer.
181,So this is very good commputer and i highly suggest it.
182,the mbp i recieved was everything it should have been.
183,I was going to buy today and noticed it went back up to $344.99?
184,Not as fast as I would have expect for an i5.
185,SO of course this one came through with the awesomeness!
186,You will not regret buying this computer!
187,Nothing bad to say about it.
188,It s heavy for Mac book but is good.
189,thanks for great service and shipping!
190,Deal of the year.
191,My sisters same laptop broke about the month later for the same reason.
192,Minis make sense for a lot of people.
193,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera."
194,This Mac Mini makes the Macbook Pro seem slow.
195,I did swap out the hard drive for a Samsung 830 SSD which I highly recommend.
196,"I bought this MacBook Pro to replace my six-year-old PC (a Sony Vaio), but it was basically no better than my old PC, so I returned it."
197,"I wanted a simple, reliable  laptop."
198,Cheaper than buying it @ apple too!
199,I have just had to learn to be a little harder typer than on my last computer.
200,Extremely disappointed with the way it is.
201,Never been happier using  computer.
202,I have had a total of 5 different laptop from many different manufactures.
203,Does everything I wanted this laptop to do.
204,"Besides, the apple stocks have been falling due to lack of sales."
205,Turns out this is a common problem.
206,Starts up in a hurry and everything is ready to go.
207,It is also fast as can be... you get what you pay for... well worth the investment
208,But I'm still learning so can't rate it yet for everything.
209,"Overall very impressed, Thank you Apple and Amazon!"
210,"Yes, that's a good thing, but it's made from aluminum that scratches easily."
211,Very fast for my needs.
212,I bought this Mac in order to replace my old Dell laptop.
213,Quick and has built in virus control.
214,Took a long time trying to decide between one with retina display and one without.
215,I saw the Mini Mac at Best Buy and decided to get this as my replacement.
216,I finally decided on this one and couldn't be any happier.
217,I was also informed that the components of the Mac Book were dirty.
218,So glad I did not waste money on a less than par product.
219,Haven't regretted it one bit.
220,The one thing that Apple does right is computers.
221,"the hardware problems have been so bad, i can't wait till it completely dies in 3 years, TOPS!"
222,It's so nice that the battery last so long and that this machine has the snow lion!
223,I think that they are the best out on the market.
224,HOWEVER I chose two day shipping and it took over a week to arrive.
225,"That's quite a bump up from the $599 that this little guy sells for, which leaves me to my next point."
226,this is quite smooth as well as heavy and can easily slip through the hands.
227,My laptop is so light that I can take it with me anywhere.
228,"it's exactly what i wanted, and it has all the new features and whatnot."
229,You can do absolutely anything and is very fast and stylish.
230,"Finally decided to try a MAC because there were too many choices of which PC's to buy and EVERYONE who had a MAC said ""buy a MAC""."
231,Can you buy any laptop that matches the quality of a MacBook?
232,"It feels cheap, the keyboard is not very sensitive."
233,That defeated the whole point of a laptop.
234,"Though please note that sometimes it crashes, and the sound quality isnt superb."
235,It is very easy to navigate even for a novice.
236,"But until now, no complains at all."
237,The cons are more annoyances that can be lived with.
238,"Does everything I need it to, has a wonderful battery life and I couldn't be happier."
239,Great Performance and Quality.
240,Just What I Needed For Portable And My Wallet Too!
241,The device speaks about it self.
242,"I used windows XP, windows Vista, and Windows 7 extensively."
243,the only thing that bums me out about this purchase is they released a newer updated mbp seriously RIGHT after i bought this one.
244,it does get hot when using on a bed or sofa and gets warm on a desk....this is in an un-air conditioned room.....in air condition it gets slightly warm......
245,I did add a SSD drive and memory
246,I got this one for thanks giving Offer for $962 :).
247,I had my PC laptop for 3 years and going to a MacBook Pro is like I leaped through time.
248,On start up it asks endless questions just so itune can sell you more of their products.
249,Pretty much made sense to get a Mini.
250,I Have been a Pc user for a very long time now but I will get used to this new OS.
251,not something you want to miss out on!!!
252,"One more thing, this mac does NOT come with restore disks and I am not sure if you can make them direct from the mac like you can with newer PC's, also the charging cables are made of the same cheap material as the iPhone/iPod touch cables."
253,I bought it to my son who uses it for graphic design.
254,I previously owned an older Dell laptop that died after about 5 or 6 years.
255,Its a pretty decent computer.
256,I never tried any external mics with that iMac.
257,The new os is great on my macbook pro!
258,"It was fast, and it was ""different""."
259,I had a little problem adjusting to the small screen but works fine as long as I remember to carry my glasses.
260,I purchased my first Mac and am glad I did.
261,"I have experienced no problems, works as anticipated."
262,System is running great.
263,Easy to customize setting and even create your own bookmarks.
264,They really screwed the pooch on this one.
265,"The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done."
266,I finally pulled the trigger and I am blown away by how much more I enjoy my computer tasks using the Mac Mini!!!
267,"it has all the features that we expected and the price was good, working well so far."
268,"I work as a designer and coder and I needed a new buddy to work with, not gaming."
269,I was told that it seems to be a multi - component failure.
270,The new operating system makes this computer into a super iPad.
271,I am very happy with my first Mac.
272,Easy to set up and go!
273,I can't believe how quiet the hard drive is and how quick this thing boots up.
274,The only issue came when I tried scanning to the mac.
275,The machine is speedy and efficient.
276,I think this is about as good as it gets at anything close to this price point.
277,"A *big* upgrade from my 13"" 2006 macbook."
278,It's just what we were looking for and it works great.
279,Having a Mac certainly makes life easier.
280,It's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!
281,The old unibody macbook pro could fry an egg after a while.
282,"It works fine, and all the software seems to run pretty well."
283,"For this purpose, it's great."
284,Couldn't have asked for more!
285,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming."
286,"It certainly does, but you rarely hear any of your friends with Mac's complain about anything."
287,"My wife was so excited to open the box, but quickly came to see that it did not function as it should."
288,I don't have any technical pearls to share.
289,"I wanted a computer that was quite, fast, and that had overall great performance."
290,"Apple ""Help"" is a mixed bag."
291,All I can say is I am impressed.
292,It suddenly can not work.
293,It did everything we expected!
294,"Harddrive was in poor condition, had to replace it."
295,The on/off switch is a bit obscure in the rear corner.
296,It's a nice little gadget.
297,My only complaint is the total lack of instructions that come with the mac mini.
298,"The only task that this computer would not be good enough for would be gaming, otherwise the integrated Intel 4000 graphics work well for other tasks."
299,It's macbook pro and there is no discusion about it.
300,I'm hoping the rest of the features will be the signature quality of apple.
301,"I use it mostly for content creation (Audio, video, photo editing) and its reliable."
302,It is the best all around Mac.
303,Screen is bright and gorgeous.
304,Also is portable and reliable.
305,"The only solution is to turn the brightness down, etc."
